Post_ID,Posts,Date,Comments,Sentiment,Cleaned_Comment
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-23,"The visit is a good move for tourism, but Bhutan needs more attention in other areas too. 🇮🇳💡",pos,the visit is a good move for tourism but bhutan needs more attention in other areas too indialight_bulb
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-23,"Bhutan’s tourism potential is great, but we need to make sure it’s managed sustainably. 🌱🏞️",pos,bhutans tourism potential is great but we need to make sure its managed sustainably seedlingnational_park
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-23,"The PM’s visit to India was positive, but will it bring real benefits to the people? 🇮🇳💼",pos,the pms visit to india was positive but will it bring real benefits to the people indiabriefcase
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"Bhutan is focusing on tourism, but there are so many other areas that need investment. 🏞️⚠️",neu,bhutan is focusing on tourism but there are so many other areas that need investment national_parkwarning
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"Respectful gesture towards Gandhi, but how does it help Bhutan in practical terms? 🇮🇳🙏",neu,respectful gesture towards gandhi but how does it help bhutan in practical terms indiafolded_hands
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"A nice visit, but let’s see the tangible outcomes for Bhutan soon! 🌍💼",pos,a nice visit but lets see the tangible outcomes for bhutan soon globe_showing_europeafricabriefcase
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"Great for tourism, but other industries in Bhutan need more attention too. 🏞️🇮🇳",pos,great for tourism but other industries in bhutan need more attention too national_parkindia
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"The homage to Gandhi was lovely, but how does it address Bhutan’s pressing needs? 🇮🇳🌍",neu,the homage to gandhi was lovely but how does it address bhutans pressing needs indiaglobe_showing_europeafrica
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"PM’s visit is good for tourism, but we need to see more action for the economy. 💼🇮🇳",pos,pms visit is good for tourism but we need to see more action for the economy briefcaseindia
168,"Prime Minister Tshering Tobgay who is on a five-day visit to India met with the Indian President Droupadi Murmu in New Delhi, today. The Prime Minister also met with officials from the Indian tourism sector to promote Bhutan’s tourism potential. The Prime Minister also paid homage to Mahatma Gandhi.",2024-03-24,"A nice gesture of respect, but how will it improve Bhutan’s situation in the long run? 🇮🇳💭",neu,a nice gesture of respect but how will it improve bhutans situation in the long run indiathought_balloon
